AARS,AASS,AATK,ABCA10,ABCA2,ABCA6,ABCA8,ABCC1,ABCC6,ABCD1,ABCE1,ABCG5,ABHD1,ABHD10,ABHD3,ABHD6,ABR,ABRA,ABTB1,ACADM,ACBD5,ACCN2,ACE2,ACLY,ACO2,ACOT12,ACP5,ACR,ACSBG2,ACSL3,ACSM1,ACTG2,ACTL7A,ACTL8,ACTN4,ACTR3,ACTR6,ACVR1C,ACY1L2,ACYP1,ADAM12,ADAM17,ADAM20,ADAM28,ADAM32,ADAM3A,ADAMTS10,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS20,ADAMTS5,ADAMTS7,ADAMTSL4,ADAT1,ADCY8,ADH4,ADIPOR1,ADK,ADMR,ADORA3,ADPN,ADPRHL2,Label
0.982873,-1.343148,-1.36047,0.314431,-1.056782,-0.462569,-0.785541,1.177477,-0.187141,0.157146,0.617005,-0.278428,-0.367374,1.058998,-0.616224,1.218113,0.020632,0.63964,-0.144378,-0.083308,1.124236,0.49622,0.358977,1.414462,1.141364,-0.344158,-0.887855,1.001786,0.370307,0.757498,-0.890186,-0.259673,0.456254,-0.153036,-0.111666,0.636094,0.317406,0.522184,-1.370132,-0.333829,0.205879,-1.101052,-0.031047,-0.846548,-0.621405,-1.06653,0.288517,-0.008633,-0.316256,0.682251,-0.353871,-0.327581,1.230749,-0.082146,0.434958,-0.39481,-0.692391,0.632923,-0.390347,-0.258687,-0.884558,1.125093,0.108534,0
0.733363,0.761443,-0.015872,0.389267,0.536781,0.784279,1.173898,1.17047,-0.436989,-0.680011,1.569164,-0.405698,1.424853,0.96244,-0.035698,0.945024,-0.308205,0.291499,-0.087642,0.924367,0.474837,-0.742332,-1.123978,0.752861,0.35203,-0.49732,0.2549,-1.579963,-1.117847,0.65277,-0.921109,-0.822535,-1.041216,-1.148416,-0.763346,0.21843,0.553643,0.602281,0.010124,0.038323,-1.304642,0.006978,-0.04219,1.335009,-0.388365,-0.150056,-1.087358,-0.147834,-0.448326,0.414276,-1.235469,-0.045648,0.170876,-0.146525,0.240657,-1.172953,-0.628977,1.437703,-0.366973,-1.303174,0.860888,-0.164309,-0.278784,0
-0.822491,0.059338,0.54372,0.120908,-0.131263,0.075288,0.224264,0.100828,0.257191,-0.412122,0.383254,-0.334948,0.084882,-0.31546,-0.429481,-0.325942,1.069643,-0.644949,-0.718816,0.816493,0.216972,0.604516,1.303413,0.216387,0.537265,-1.282872,-0.526824,0.128159,0.860073,0.021812,0.063813,-1.09482,-0.932758,0.994897,0.183995,-0.176874,0.852723,-1.096268,-0.801217,0.225628,0.524009,-1.025971,2.070617,0.173519,1.546773,0.478662,0.022304,0.047694,-0.133692,0.119844,0.082435,-1.824277,0.543417,-0.180239,0.664718,0.3229,0.833359,-0.084532,0.613312,0.580319,-1.295527,0.822411,0.154268,0
0.072388,0.911399,-0.761132,-0.347323,-0.523297,-0.054599,0.759441,-0.710527,-1.056863,-0.448342,1.450203,-1.426535,-0.089764,1.463333,-0.738509,1.114453,-0.443299,-0.848853,-0.477985,0.266361,0.992157,-0.518273,-2.077757,0.471176,-0.175682,1.05639,-0.487122,-0.347039,-0.803002,1.674522,-0.608459,-0.913685,0.711647,1.956485,-0.959983,0.808296,1.38736,1.77589,-0.324265,-0.39573,-1.69241,0.933947,-1.735911,-0.03782,-1.059603,-1.250623,-0.762858,-0.262136,0.846788,2.000138,-1.494237,0.950618,-0.097456,-0.462707,0.560867,-0.706701,-1.508578,1.161934,-0.280072,-1.157154,0.169049,0.574073,-0.87346,0
1.711796,-0.588005,-0.482887,-1.715154,-0.753493,-0.059568,-0.125177,0.875032,-0.223659,-0.010653,0.676354,-1.963852,-0.077548,1.287956,-1.598577,1.590562,0.156716,-0.451133,0.372751,-0.099643,0.871193,0.268245,-1.233836,1.525176,1.155183,0.212132,-0.465343,0.614792,-1.296566,0.777422,-0.489951,-1.435382,0.802723,2.717929,-0.276818,1.022372,0.715093,0.565654,-1.470014,-0.163538,-0.756776,-1.265408,-1.1063,-0.497493,-0.104001,-1.374453,-0.649118,1.622401,1.35315,2.096062,-0.749783,-0.134441,0.280454,-0.527204,0.570496,-0.93518,-0.722772,1.110818,-1.101344,-0.351947,-0.611787,1.001165,0.530584,0
0.894632,-1.6066,-0.693563,0.4205,-1.450916,-0.582993,-1.106104,0.848869,-1.973385,-0.045956,1.157018,-1.114998,-0.002251,1.118366,-1.790602,1.066229,0.780261,-0.035497,0.719318,0.481048,0.329216,0.316008,-1.0687,1.218428,0.791642,1.205439,0.166519,1.020099,-0.803763,0.887743,-1.301759,0.228389,0.209552,2.595953,-0.261685,1.260758,1.117909,0.742109,-0.905394,0.413353,-0.88176,-0.863372,-1.1081,-0.353529,0.763518,-0.956691,0.224011,0.764831,0.712726,1.585348,-0.628617,1.415935,-0.364394,-0.229432,0.58282,-0.834518,-0.681262,0.667791,-0.991843,-0.420401,-1.041441,0.835932,-0.36441,0
1.454272,-1.733768,-1.284623,0.712255,-1.55562,-0.184021,-1.84496,1.003318,-1.290305,0.086954,0.696884,-1.322729,-2.449419,1.252811,-1.485285,0.678324,0.849007,-0.294499,0.239622,-0.063929,0.251153,0.30283,0.074186,1.477121,0.592043,-0.176498,-1.382069,1.029726,-0.407156,0.960553,-1.229146,0.103414,1.561872,0.469701,-0.33505,1.324745,1.534176,1.31273,-0.1772,0.442039,-0.092724,-1.006481,0.03342,-0.264385,1.561513,0.333271,0.044987,0.990788,-0.800705,0.570442,-0.622278,1.570606,1.459585,-0.488015,1.33904,-0.442928,0.028228,0.279882,-0.126743,-0.441247,-0.862008,0.237705,-0.476063,0
0.569163,-0.209363,-1.402354,-0.716634,-1.194408,0.090472,-0.964668,0.98699,-0.57972,-0.538113,0.697478,-1.022542,-0.232417,1.264773,-0.51547,0.701564,0.374703,0.388669,-0.26481,0.64321,0.802877,-0.391443,0.059973,1.122641,0.828949,0.039021,-0.825394,0.167053,-0.810781,0.906383,0.211545,-0.557087,-0.345731,-0.597967,-0.621113,0.990681,0.954864,1.033344,-0.713179,0.137492,-0.327766,-0.242713,0.053006,-0.618213,0.969991,-0.168526,-0.415082,0.278196,-0.764123,0.468722,-0.462372,0.46747,0.440462,-0.013795,0.598388,0.683054,-0.256053,0.428841,-0.433796,-0.84066,-0.905293,0.793625,-0.802148,0
0.468797,-2.059229,0.630201,0.204841,0.626199,-1.034491,-1.6876,0.048689,-0.578675,-0.219209,-0.85347,-0.263133,0.444197,-0.917919,-1.587526,-0.752075,2.207634,0.295681,1.471576,-1.78404,-1.525947,1.644303,0.492991,-0.061461,0.761619,-0.381131,-0.544396,1.08451,1.493419,-1.22317,-0.519634,0.504175,0.970424,0.54567,0.755313,-1.020871,-0.275388,-1.216953,-1.806535,0.515639,0.802814,-1.639688,1.49804,0.144921,0.534702,-0.029385,1.068086,-0.131003,-0.594441,-0.773587,0.931274,-0.471838,-0.254546,0.438092,-0.845063,-0.478945,0.266829,-0.853291,0.153368,0.659594,-0.567387,1.765078,-0.524631,0
1.251692,-0.212137,-0.756785,0.722776,-1.010121,-0.475377,-0.264981,1.111949,-0.979066,-0.542513,1.121582,-0.497445,-0.203121,0.925519,-0.417347,1.326599,0.664771,-0.357257,-0.113599,-0.022262,0.638873,0.231824,-0.238829,1.795094,0.971439,0.135907,-0.692397,0.002883,-0.30374,1.250474,-0.513306,-1.44214,-0.526451,0.407383,-0.848601,0.812176,0.473673,1.016907,-1.543696,-0.17921,-0.417358,-0.325365,0.302377,0.131784,1.240849,-0.669896,0.202699,-0.2229,0.169851,0.286197,-0.902632,0.219292,-0.259575,-0.46026,1.193928,0.864886,0.17432,1.091834,-1.271958,-0.964849,-0.410037,0.576591,-0.710076,0
