AARS,AASS,AATK,ABCA10,ABCA2,ABCA6,ABCA8,ABCC1,ABCC6,ABCD1,ABCE1,ABCG5,ABHD1,ABHD10,ABHD3,ABHD6,ABR,ABRA,ABTB1,ACADM,ACBD5,ACCN2,ACE2,ACLY,ACO2,ACOT12,ACP5,ACR,ACSBG2,ACSL3,ACSM1,ACTG2,ACTL7A,ACTL8,ACTN4,ACTR3,ACTR6,ACVR1C,ACY1L2,ACYP1,ADAM12,ADAM17,ADAM20,ADAM28,ADAM32,ADAM3A,ADAMTS10,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS20,ADAMTS5,ADAMTS7,ADAMTSL4,ADAT1,ADCY8,ADH4,ADIPOR1,ADK,ADMR,ADORA3,ADPN,ADPRHL2,Label
0.930916,-1.315293,-1.323831,0.37867,-0.956415,-0.450834,-0.723635,1.144509,-0.115986,0.283539,0.501599,-0.182266,-0.366937,0.93547,-0.510268,1.114399,-0.049123,0.626172,-0.140282,-0.178846,1.107459,0.492519,0.430006,1.30669,1.063709,-0.426472,-0.858622,1.071944,0.467301,0.654609,-0.843362,-0.179655,0.508697,-0.214026,-0.02746,0.534341,0.194453,0.436093,-1.267134,-0.409723,0.319453,-1.129566,-0.037417,-0.819617,-0.717699,-1.009889,0.364046,-0.052956,-0.284806,0.596278,-0.277025,-0.400235,1.259573,0.020284,0.318405,-0.342144,-0.663999,0.543288,-0.333882,-0.141164,-0.770359,1.141192,0.165135,0
0.671088,0.838718,0.066177,0.456944,0.680295,0.871413,1.279963,1.137142,-0.374246,-0.611753,1.490614,-0.315207,1.489406,0.836511,0.078648,0.833806,-0.384894,0.261952,-0.08118,0.893328,0.413957,-0.790718,-1.119522,0.622966,0.226794,-0.586888,0.359735,-1.680545,-1.087413,0.544857,-0.875868,-0.755929,-1.034953,-1.228304,-0.719822,0.097123,0.438005,0.518559,0.137708,-0.016967,-1.272826,0.04682,-0.049067,1.438019,-0.477163,-0.045322,-1.082451,-0.198768,-0.424024,0.321515,-1.195686,-0.107568,0.142025,-0.048815,0.116542,-1.158732,-0.597529,1.387502,-0.309502,-1.215728,0.968292,-0.18707,-0.242392,0
-0.949106,0.120126,0.644668,0.176256,-0.005837,0.119548,0.308928,0.012492,0.343306,-0.325261,0.2588,-0.241305,0.101498,-0.473158,-0.320826,-0.472086,1.022006,-0.717745,-0.738675,0.778549,0.13858,0.604722,1.416839,0.068553,0.423195,-1.409645,-0.473706,0.140541,0.978973,-0.116367,0.159478,-1.034702,-0.92315,0.955701,0.286659,-0.316689,0.746345,-1.230224,-0.688085,0.180709,0.654802,-1.049854,2.159991,0.236023,1.520213,0.61639,0.084168,0.006046,-0.092361,0.019624,0.177624,-1.953915,0.534839,-0.085001,0.557107,0.411025,0.935267,-0.209323,0.713006,0.722003,-1.179728,0.829388,0.213255,0
-0.017221,0.992195,-0.704252,-0.313488,-0.408486,-0.018194,0.856166,-0.840587,-1.014991,-0.363997,1.367048,-1.381536,-0.079396,1.349857,-0.634321,1.00789,-0.522837,-0.931066,-0.487801,0.193204,0.96641,-0.558576,-2.116118,0.331861,-0.332728,1.040409,-0.431377,-0.366083,-0.758486,1.615622,-0.547211,-0.849251,0.771966,1.935545,-0.928735,0.714606,1.297535,1.726878,-0.202637,-0.475051,-1.681582,1.030975,-1.819948,0.017314,-1.16999,-1.203643,-0.741295,-0.318499,0.941187,1.947549,-1.465333,0.92663,-0.140909,-0.38818,0.449214,-0.669445,-1.519513,1.09822,-0.218858,-1.065503,0.279146,0.573566,-0.868095,0
1.689982,-0.542418,-0.41661,-1.744164,-0.644915,-0.023463,-0.048389,0.826511,-0.153734,0.104087,0.563245,-1.942797,-0.066743,1.17012,-1.506818,1.497083,0.08983,-0.514978,0.398412,-0.196227,0.837231,0.256319,-1.234312,1.421106,1.078361,0.156165,-0.408157,0.659357,-1.274125,0.675489,-0.422636,-1.383379,0.86585,2.711445,-0.202922,0.938704,0.604453,0.480849,-1.368795,-0.230003,-0.695306,-1.304062,-1.161654,-0.458389,-0.183654,-1.333971,-0.621717,1.655544,1.474955,2.045903,-0.689581,-0.199741,0.257566,-0.457406,0.459218,-0.909212,-0.695844,1.0446,-1.075503,-0.237109,-0.49865,1.013529,0.609206,0
0.839026,-1.584931,-0.634401,0.489612,-1.361221,-0.578541,-1.051422,0.799002,-1.962371,0.066333,1.062515,-1.056116,0.011248,0.996314,-1.701618,0.958341,0.726523,-0.080146,0.759432,0.421633,0.258447,0.305805,-1.061762,1.1041,0.692906,1.196517,0.265507,1.091468,-0.759281,0.791102,-1.276006,0.320037,0.254387,2.587153,-0.186844,1.188251,1.019741,0.662523,-0.794118,0.378827,-0.827055,-0.877224,-1.163536,-0.309405,0.711767,-0.894286,0.296229,0.757244,0.799869,1.522252,-0.563321,1.409663,-0.422372,-0.137801,0.472021,-0.803576,-0.652334,0.579864,-0.961286,-0.307535,-0.926631,0.843316,-0.332485,0
1.421809,-1.715085,-1.245423,0.794772,-1.46876,-0.155442,-1.806929,0.961394,-1.256292,0.208472,0.58457,-1.273104,-2.523466,1.134101,-1.391889,0.559777,0.796718,-0.35111,0.259732,-0.158227,0.175082,0.292152,0.13243,1.371444,0.481275,-0.250871,-1.385532,1.101732,-0.344935,0.867404,-1.199675,0.192084,1.64841,0.420534,-0.264789,1.255234,1.448897,1.25002,-0.052953,0.409101,0.004688,-1.029161,0.029987,-0.217152,1.535427,0.463369,0.108016,0.993933,-0.795475,0.481637,-0.556716,1.570223,1.500862,-0.415344,1.257673,-0.39264,0.091342,0.172947,-0.058924,-0.328981,-0.747896,0.22706,-0.449964,0
0.500098,-0.154884,-1.36713,-0.699767,-1.097768,0.13565,-0.906799,0.944226,-0.521783,-0.460002,0.585187,-0.95954,-0.227152,1.146361,-0.408058,0.583656,0.312413,0.36361,-0.265736,0.594175,0.764276,-0.42717,0.117579,1.00511,0.732461,-0.025145,-0.792029,0.182007,-0.766613,0.810636,0.314774,-0.484156,-0.31802,-0.667404,-0.56871,0.905529,0.851648,0.962371,-0.598479,0.087693,-0.243076,-0.218275,0.050466,-0.583319,0.924881,-0.064761,-0.375668,0.247496,-0.756913,0.37734,-0.390087,0.425086,0.426281,0.093647,0.488195,0.788972,-0.206637,0.329205,-0.379203,-0.739895,-0.791013,0.799734,-0.793063,0
0.395581,-2.048189,0.73407,0.264045,0.772134,-1.057342,-1.646023,-0.042328,-0.520703,-0.118952,-1.025795,-0.166289,0.473667,-1.090594,-1.495608,-0.909928,2.183993,0.266327,1.54306,-1.988438,-1.722707,1.682023,0.570036,-0.218586,0.661073,-0.465196,-0.49244,1.160139,1.640646,-1.42107,-0.453839,0.602394,1.038723,0.497945,0.893642,-1.2002,-0.416695,-1.354479,-1.711311,0.486776,0.948697,-1.701432,1.56133,0.206428,0.475592,0.081682,1.183629,-0.181138,-0.578047,-0.896439,1.062149,-0.549984,-0.306547,0.578666,-1.011434,-0.430436,0.34144,-1.015751,0.233251,0.80356,-0.454422,1.800465,-0.501066,0
1.210851,-0.157724,-0.699758,0.805776,-0.908491,-0.464417,-0.191343,1.075611,-0.934574,-0.464707,1.025707,-0.411043,-0.196808,0.798673,-0.308517,1.225866,0.608598,-0.416766,-0.108219,-0.113893,0.589133,0.218584,-0.194637,1.700049,0.883541,0.07633,-0.650233,0.00698,-0.236894,1.171233,-0.447187,-1.390298,-0.504313,0.357033,-0.8104,0.718667,0.355558,0.945448,-1.44379,-0.246543,-0.337517,-0.306026,0.311197,0.192833,1.20445,-0.592441,0.273823,-0.277399,0.227611,0.190191,-0.848856,0.167459,-0.31185,-0.385554,1.106913,0.979788,0.244473,1.024685,-1.253466,-0.867661,-0.297685,0.576159,-0.696187,0
0.915343,0.292593,0.277391,0.274029,-0.116867,-0.36767,-1.096927,0.309927,-0.909104,-0.072271,-0.524816,-0.116015,-0.683309,0.835692,-2.853689,-0.410308,0.303019,0.566334,0.655546,-1.746153,-0.294456,1.399694,0.045324,0.624491,0.517239,0.62091,-0.328283,0.814477,0.167186,-0.164108,0.187082,1.886453,0.559489,0.383389,0.350236,-0.594948,0.397163,0.572953,-1.475499,-0.109815,0.450467,-0.046185,0.567094,-0.075185,-0.215621,-0.522091,0.37429,0.858381,-0.190353,0.441656,0.424334,1.17759,1.566015,0.067914,1.328402,-1.118332,-0.152721,-0.531695,0.205664,0.469447,-0.629747,0.437741,-0.267484,0
-0.402546,0.653775,-0.511711,-0.013584,-0.520359,-0.042802,0.159985,0.298889,-0.82674,-0.499297,1.043305,-0.893189,0.286385,0.967466,-0.66239,0.881464,0.466817,0.723054,-0.440039,0.773765,1.033046,0.060171,-0.882572,0.013397,1.242,0.641829,0.136794,-0.599536,-0.196739,1.05004,0.116995,-0.363532,-0.380448,0.817806,-0.689572,0.871743,0.336161,0.377054,-0.776589,0.507204,-0.19265,-0.009643,-0.283384,0.068652,0.510878,-0.065654,-0.747647,0.309055,-0.351079,0.321712,-0.706063,0.597998,0.669943,-0.295599,1.229143,-0.866221,-0.195472,0.822547,-0.052711,-1.050585,-0.266861,0.276186,-0.842181,0
1.934752,-2.387154,0.019359,1.127639,-0.120332,-0.955315,-2.37267,1.082004,-1.447863,-0.251705,-0.318338,-0.144597,-1.671942,0.014123,-1.46971,-0.219264,2.215508,-0.087489,1.650843,-1.094086,-1.523929,2.145545,0.046069,0.769824,0.301055,0.438564,0.175011,1.110082,0.700255,-0.045201,-0.546702,0.681345,0.066327,-0.724602,0.843757,-0.413688,-0.268782,0.583055,-1.380598,1.031766,0.02115,-1.246626,0.914873,-1.117002,-0.126887,-0.281084,0.812565,-0.179876,-0.729085,-1.169811,0.380169,0.598878,0.281679,0.750348,0.168365,-0.550506,-0.355743,-0.751941,-1.112421,0.046639,-0.948285,1.485263,-0.913122,0
1.213479,-1.69974,0.39831,1.186588,-0.268631,-0.964081,-2.59829,0.004621,0.094429,0.960199,-0.007333,-0.827845,-1.446552,-0.794172,-0.637324,-1.561331,2.981202,-1.524551,2.131779,-1.2355,-2.194551,1.897765,1.037552,0.379479,-0.859012,-1.708406,-1.206545,3.102178,0.562145,-0.05604,0.743825,-0.458869,-0.038221,1.472672,0.456459,-0.706073,1.075424,0.220754,-1.217127,0.426993,0.866622,1.02778,1.859114,-0.583791,-1.076352,-0.374826,1.895797,-2.273008,-2.37421,-1.692787,2.792072,0.010564,-0.839235,0.209634,-1.282162,-0.786786,-0.641058,-1.614763,2.132961,1.527089,-0.910208,-2.307639,0.833897,0
